Time_stamp,Seconds,X,Y,Z,profile,Activity
1/8/2020 17:09,0.1,-0.10644531,0.06945801,-0.012573242,AR,laying
1/8/2020 17:09,0.1,0.14216614,0.28692627,-0.2776947,AR,laying
1/8/2020 17:09,0.099,-0.10093689,0.25820923,-0.21966553,AR,laying
1/8/2020 17:09,0.1,-0.00138855,0.16841125,-0.15002441,AR,laying
1/8/2020 17:09,0.1,0.15011597,0.32907104,-0.28930664,AR,laying
1/8/2020 17:09,0.1,0.4048462,0.9430084,-0.67292786,AR,laying
1/8/2020 17:09,0.1,0.5838318,0.45980835,-0.45484924,AR,laying
1/8/2020 17:09,0.103,0.31871033,0.23866272,-0.19033813,AR,laying
1/8/2020 17:09,0.097,-0.32391357,-0.1473999,-0.07611084,AR,laying
1/8/2020 17:09,0.1,-0.08811951,-0.34776306,0.050949097,AR,laying
1/8/2020 17:09,0.1,-0.6238556,-0.81018066,0.25863647,AR,laying
1/8/2020 17:09,0.1,-0.2866516,-0.5023041,0.40708923,AR,laying
1/8/2020 17:09,0.101,-0.0368042,-0.03010559,-0.013183594,AR,laying
1/8/2020 17:09,0.099,-0.048416138,-0.04171753,8.54E-04,AR,laying
1/8/2020 17:09,0.1,-0.03375244,-0.08081055,0.006362915,AR,laying
1/8/2020 17:09,0.1,-0.034973145,-0.02154541,0.002700806,AR,laying
1/8/2020 17:09,0.1,-0.20846558,-0.04171753,0.03933716,AR,laying
1/8/2020 17:09,0.1,-0.07711792,0.016921997,-0.07611084,AR,laying
1/8/2020 17:09,0.1,0.06825256,0.005310059,-0.005859375,AR,laying
1/8/2020 17:09,0.1,0.017547607,-0.006286621,-0.008300781,AR,laying
1/8/2020 17:09,0.1,0.01878357,-0.020950317,0.003921509,AR,laying
1/8/2020 17:09,0.1,-0.0368042,-0.006896973,-0.027236938,AR,laying
1/8/2020 17:09,0.101,0.043823242,-0.010559082,0.003921509,AR,laying
1/8/2020 17:09,0.099,-0.001983643,-0.011169434,-0.004638672,AR,laying
1/8/2020 17:09,0.1,0.021820068,-0.002624512,-0.005249023,AR,laying
